,hex9,cnt
0,0,2307
1,892a100002bffff,6
2,892a1000047ffff,3
3,892a1000063ffff,70
4,892a1000067ffff,33
5,892a1000073ffff,8
6,892a1000077ffff,2
7,892a100007bffff,7
8,892a100014bffff,1
9,892a1000243ffff,132
10,892a100024bffff,66
11,892a100024fffff,2
12,892a1000253ffff,1
13,892a100025bffff,178
14,892a1000267ffff,1
15,892a10002c3ffff,1
16,892a10002d7ffff,1
17,892a1000383ffff,57
18,892a1000387ffff,69
19,892a100038fffff,4
20,892a1000393ffff,32
21,892a1000397ffff,22
22,892a100039bffff,18
23,892a10003b3ffff,23
24,892a10003bbffff,13
25,892a10006d7ffff,2
26,892a1000923ffff,2
27,892a1000927ffff,58
28,892a100092bffff,10
29,892a100092fffff,7
30,892a1000937ffff,32
31,892a100093bffff,2
32,892a1000967ffff,4
33,892a1000977ffff,5
34,892a1000a2bffff,2
35,892a1000a2fffff,4
36,892a1000a63ffff,3
37,892a1000a67ffff,89
38,892a1000a6fffff,27
39,892a1000acbffff,146
40,892a1000b03ffff,69
41,892a1000b07ffff,119
42,892a1000b0bffff,115
43,892a1000b0fffff,14
44,892a1000b13ffff,81
45,892a1000b17ffff,87
46,892a1000b1bffff,40
47,892a1000b23ffff,2
48,892a1000b27ffff,3
49,892a1000b2bffff,32
50,892a1000b2fffff,9
51,892a1000b33ffff,2
52,892a1000b37ffff,15
53,892a1000b3bffff,47
54,892a1000b43ffff,1
55,892a1000b4bffff,2
56,892a1000b4fffff,16
57,892a1000b57ffff,4
58,892a1000b67ffff,7
59,892a1000b6bffff,16
60,892a1000b6fffff,2
61,892a1000b73ffff,9
62,892a1000b77ffff,76
63,892a1000b7bffff,3
64,892a1000babffff,4
65,892a1000bafffff,2
66,892a1001003ffff,255
67,892a1001007ffff,327
68,892a100100bffff,114
69,892a100100fffff,412
70,892a1001013ffff,409
71,892a1001017ffff,170
72,892a100101bffff,577
73,892a1001023ffff,403
74,892a1001027ffff,255
75,892a100102bffff,299
76,892a100102fffff,199
77,892a1001033ffff,267
78,892a1001037ffff,242
79,892a100103bffff,243
80,892a1001043ffff,141
81,892a1001047ffff,280
82,892a100104bffff,323
83,892a100104fffff,67
84,892a1001053ffff,476
85,892a1001057ffff,214
86,892a100105bffff,84
87,892a1001063ffff,1088
88,892a1001067ffff,468
89,892a100106bffff,171
90,892a100106fffff,226
91,892a1001073ffff,347
92,892a1001077ffff,570
93,892a100107bffff,494
94,892a1001083ffff,453
95,892a1001087ffff,197
96,892a100108bffff,377
97,892a100108fffff,231
98,892a1001093ffff,432
99,892a1001097ffff,352
100,892a100109bffff,217
101,892a10010a3ffff,293
102,892a10010a7ffff,250
103,892a10010abffff,352
104,892a10010afffff,471
105,892a10010b3ffff,310
106,892a10010b7ffff,180
107,892a10010bbffff,216
108,892a10010c3ffff,788
109,892a10010c7ffff,920
110,892a10010cbffff,548
111,892a10010cfffff,484
112,892a10010d3ffff,736
113,892a10010d7ffff,522
114,892a10010dbffff,895
115,892a1001103ffff,97
116,892a1001107ffff,42
117,892a100110fffff,63
118,892a1001113ffff,48
119,892a1001117ffff,51
120,892a100111bffff,106
121,892a1001127ffff,44
122,892a100112bffff,9
123,892a1001133ffff,1
124,892a1001137ffff,97
125,892a100113bffff,41
126,892a1001143ffff,164
127,892a1001147ffff,78
128,892a100114bffff,109
129,892a100114fffff,230
130,892a1001153ffff,234
131,892a1001157ffff,119
132,892a100115bffff,134
133,892a1001163ffff,138
134,892a1001167ffff,611
135,892a100116bffff,364
136,892a100116fffff,115
137,892a1001173ffff,31
138,892a1001177ffff,14
139,892a100117bffff,155
140,892a1001183ffff,14
141,892a1001187ffff,26
142,892a100118bffff,90
143,892a100118fffff,24
144,892a1001193ffff,2
145,892a1001197ffff,1
146,892a100119bffff,19
147,892a10011a3ffff,163
148,892a10011a7ffff,400
149,892a10011abffff,16
150,892a10011afffff,326
151,892a10011b3ffff,6
152,892a10011b7ffff,27
153,892a10011bbffff,1
154,892a10011c3ffff,206
155,892a10011c7ffff,121
156,892a10011cbffff,236
157,892a10011cfffff,160
158,892a10011d3ffff,109
159,892a10011d7ffff,70
160,892a10011dbffff,178
161,892a1001203ffff,340
162,892a1001207ffff,529
163,892a100120fffff,190
164,892a1001213ffff,135
165,892a1001217ffff,522
166,892a100121bffff,17
167,892a1001223ffff,275
168,892a100122bffff,567
169,892a100122fffff,36
170,892a1001233ffff,657
171,892a1001237ffff,4
172,892a100123bffff,384
173,892a1001243ffff,208
174,892a1001247ffff,1
175,892a100124bffff,403
176,892a100124fffff,375
177,892a1001253ffff,123
178,892a100125bffff,244
179,892a1001263ffff,208
180,892a1001267ffff,156
181,892a100126bffff,503
182,892a100126fffff,134
183,892a1001273ffff,144
184,892a1001277ffff,687
185,892a100127bffff,509
186,892a1001283ffff,175
187,892a1001287ffff,413
188,892a100128bffff,160
189,892a100128fffff,362
190,892a1001293ffff,198
191,892a1001297ffff,327
192,892a100129bffff,126
193,892a10012a3ffff,438
194,892a10012abffff,266
195,892a10012afffff,37
196,892a10012b3ffff,841
197,892a10012b7ffff,19
198,892a10012bbffff,410
199,892a10012c3ffff,37
200,892a10012c7ffff,10
201,892a10012cbffff,165
202,892a10012d3ffff,18
203,892a10012d7ffff,24
204,892a10012dbffff,94
205,892a1001307ffff,20
206,892a100130bffff,1
207,892a1001313ffff,83
208,892a1001317ffff,53
209,892a1001323ffff,338
210,892a1001327ffff,349
211,892a1001333ffff,114
212,892a1001337ffff,750
213,892a1001343ffff,24
214,892a1001347ffff,47
215,892a100134bffff,114
216,892a100134fffff,376
217,892a100135bffff,15
218,892a1001363ffff,4
219,892a100136bffff,379
220,892a100136fffff,112
221,892a100137bffff,106
222,892a1001383ffff,298
223,892a1001387ffff,123
224,892a100138bffff,178
225,892a100138fffff,258
226,892a1001393ffff,313
227,892a1001397ffff,33
228,892a100139bffff,261
229,892a10013a3ffff,552
230,892a10013a7ffff,360
231,892a10013abffff,78
232,892a10013afffff,368
233,892a10013b3ffff,172
234,892a10013b7ffff,331
235,892a10013bbffff,188
236,892a10013c7ffff,69
237,892a10013cfffff,1
238,892a10013d7ffff,169
239,892a1001403ffff,373
240,892a1001407ffff,443
241,892a100140bffff,399
242,892a100140fffff,525
243,892a1001413ffff,186
244,892a1001417ffff,280
245,892a100141bffff,251
246,892a1001423ffff,2
247,892a1001427ffff,280
248,892a100142bffff,8
249,892a100142fffff,7
250,892a1001433ffff,168
251,892a1001437ffff,31
252,892a100143bffff,221
253,892a1001443ffff,335
254,892a1001447ffff,298
255,892a100144bffff,495
256,892a100144fffff,339
257,892a1001453ffff,270
258,892a1001457ffff,534
259,892a100145bffff,519
260,892a1001463ffff,694
261,892a1001467ffff,676
262,892a100146bffff,445
263,892a100146fffff,490
264,892a1001473ffff,328
265,892a1001477ffff,329
266,892a100147bffff,556
267,892a10014a3ffff,205
268,892a10014a7ffff,177
269,892a10014abffff,520
270,892a10014afffff,215
271,892a10014b7ffff,8
272,892a10014bbffff,1
273,892a10014c3ffff,214
274,892a10014c7ffff,330
275,892a10014cbffff,89
276,892a10014cfffff,273
277,892a10014d3ffff,197
278,892a10014d7ffff,187
279,892a10014dbffff,545
280,892a1001503ffff,1
281,892a1001507ffff,4
282,892a100150bffff,13
283,892a100150fffff,3
284,892a1001513ffff,10
285,892a100151bffff,12
286,892a1001527ffff,3
287,892a1001533ffff,1
288,892a100153bffff,3
289,892a1001543ffff,348
290,892a1001547ffff,153
291,892a100154bffff,224
292,892a100154fffff,236
293,892a1001553ffff,55
294,892a1001557ffff,110
295,892a100155bffff,404
296,892a1001563ffff,465
297,892a1001567ffff,29
298,892a100156bffff,245
299,892a100156fffff,158
300,892a1001573ffff,24
301,892a1001577ffff,5
302,892a100157bffff,198
303,892a100158bffff,7
304,892a10015c3ffff,91
305,892a10015c7ffff,59
306,892a10015cbffff,101
307,892a10015cfffff,153
308,892a10015d3ffff,88
309,892a10015d7ffff,8
310,892a10015dbffff,239
311,892a1001613ffff,96
312,892a100161bffff,97
313,892a1001627ffff,53
314,892a1001637ffff,155
315,892a100163bffff,2
316,892a1001667ffff,114
317,892a1001677ffff,2
318,892a1001683ffff,472
319,892a1001687ffff,96
320,892a100168bffff,376
321,892a100168fffff,101
322,892a1001693ffff,116
323,892a1001697ffff,30
324,892a100169bffff,328
325,892a10016a3ffff,631
326,892a10016a7ffff,445
327,892a10016afffff,448
328,892a10016b3ffff,468
329,892a10016b7ffff,614
