,hex9,cnt
0,0,6593
1,892a1000007ffff,1
2,892a100002bffff,4
3,892a1000047ffff,22
4,892a1000063ffff,46
5,892a1000067ffff,54
6,892a1000073ffff,2
7,892a1000077ffff,1
8,892a100007bffff,8
9,892a1000243ffff,5
10,892a100024bffff,13
11,892a100024fffff,1
12,892a1000253ffff,100
13,892a100025bffff,29
14,892a1000267ffff,1
15,892a100026fffff,2
16,892a1000293ffff,1
17,892a10002a3ffff,5
18,892a10002c3ffff,1
19,892a10002cfffff,2
20,892a1000383ffff,73
21,892a1000387ffff,212
22,892a100038bffff,1
23,892a1000393ffff,74
24,892a1000397ffff,20
25,892a100039bffff,52
26,892a10003b3ffff,33
27,892a10003b7ffff,3
28,892a10003bbffff,15
29,892a100067bffff,1
30,892a10006d7ffff,1
31,892a1000923ffff,6
32,892a1000927ffff,29
33,892a100092bffff,9
34,892a100092fffff,28
35,892a1000937ffff,18
36,892a100093bffff,7
37,892a1000967ffff,4
38,892a1000977ffff,10
39,892a1000a2bffff,19
40,892a1000a2fffff,8
41,892a1000a63ffff,2
42,892a1000a67ffff,73
43,892a1000a6fffff,42
44,892a1000acbffff,14
45,892a1000b03ffff,315
46,892a1000b07ffff,47
47,892a1000b0bffff,66
48,892a1000b0fffff,142
49,892a1000b13ffff,165
50,892a1000b17ffff,21
51,892a1000b1bffff,24
52,892a1000b23ffff,3
53,892a1000b27ffff,32
54,892a1000b2bffff,22
55,892a1000b2fffff,10
56,892a1000b33ffff,3
57,892a1000b37ffff,10
58,892a1000b3bffff,53
59,892a1000b43ffff,13
60,892a1000b4bffff,3
61,892a1000b4fffff,7
62,892a1000b53ffff,1
63,892a1000b57ffff,35
64,892a1000b63ffff,8
65,892a1000b67ffff,19
66,892a1000b6bffff,57
67,892a1000b6fffff,17
68,892a1000b73ffff,118
69,892a1000b77ffff,40
70,892a1000b7bffff,8
71,892a1000babffff,22
72,892a1000bafffff,3
73,892a1000bc7ffff,9
74,892a1000bcfffff,2
75,892a1000bd7ffff,1
76,892a1001003ffff,205
77,892a1001007ffff,104
78,892a100100bffff,179
79,892a100100fffff,219
80,892a1001013ffff,202
81,892a1001017ffff,214
82,892a100101bffff,752
83,892a1001023ffff,151
84,892a1001027ffff,69
85,892a100102bffff,366
86,892a100102fffff,464
87,892a1001033ffff,1112
88,892a1001037ffff,171
89,892a100103bffff,185
