,hex9,cnt
0,0,1996
1,892a100002bffff,7
2,892a1000063ffff,2
3,892a1000067ffff,36
4,892a1000073ffff,1
5,892a100007bffff,1
6,892a1000243ffff,18
7,892a100024bffff,22
8,892a1000253ffff,38
9,892a100025bffff,28
10,892a1000383ffff,6
11,892a1000387ffff,54
12,892a1000393ffff,20
13,892a1000397ffff,8
14,892a100039bffff,2
15,892a10003b3ffff,3
16,892a100092bffff,1
17,892a100093bffff,1
18,892a1000977ffff,1
19,892a1000a2bffff,4
20,892a1000a67ffff,7
21,892a1000a6fffff,5
22,892a1000acbffff,15
23,892a1000b03ffff,18
24,892a1000b07ffff,18
25,892a1000b0bffff,15
26,892a1000b0fffff,7
27,892a1000b13ffff,23
28,892a1000b17ffff,12
29,892a1000b1bffff,14
30,892a1000b2bffff,1
31,892a1000b33ffff,3
32,892a1000b3bffff,11
33,892a1000b43ffff,1
34,892a1000b4bffff,3
35,892a1000b4fffff,3
36,892a1000b53ffff,7
37,892a1000b57ffff,4
38,892a1000b67ffff,1
39,892a1000b73ffff,1
40,892a1000b77ffff,30
41,892a1000babffff,11
42,892a1001003ffff,185
43,892a1001007ffff,36
44,892a100100bffff,83
45,892a100100fffff,102
46,892a1001013ffff,134
47,892a1001017ffff,173
48,892a100101bffff,376
49,892a1001023ffff,70
50,892a1001027ffff,74
51,892a100102bffff,83
52,892a100102fffff,41
53,892a1001033ffff,14
54,892a1001037ffff,56
55,892a100103bffff,81
56,892a1001043ffff,228
57,892a1001047ffff,222
58,892a100104bffff,975
59,892a100104fffff,61
60,892a1001053ffff,400
61,892a1001057ffff,339
62,892a100105bffff,706
63,892a1001063ffff,627
64,892a1001067ffff,849
65,892a100106bffff,43
66,892a100106fffff,821
67,892a1001073ffff,253
68,892a1001077ffff,181
69,892a100107bffff,840
70,892a1001083ffff,165
71,892a1001087ffff,205
72,892a100108bffff,191
73,892a100108fffff,241
74,892a1001093ffff,169
75,892a1001097ffff,47
76,892a100109bffff,72
77,892a10010a3ffff,138
78,892a10010a7ffff,127
79,892a10010abffff,31
80,892a10010afffff,134
81,892a10010b3ffff,52
82,892a10010b7ffff,99
83,892a10010bbffff,217
84,892a10010c3ffff,383
85,892a10010c7ffff,427
86,892a10010cbffff,304
87,892a10010cfffff,673
88,892a10010d3ffff,371
89,892a10010d7ffff,330
90,892a10010dbffff,641
91,892a1001103ffff,199
92,892a100110fffff,8
93,892a1001113ffff,2
94,892a1001117ffff,5
95,892a100111bffff,9
96,892a1001127ffff,22
97,892a100112fffff,1
98,892a1001133ffff,7
99,892a1001137ffff,20
100,892a100113bffff,1
101,892a1001143ffff,41
102,892a1001147ffff,1
103,892a100114bffff,2
104,892a100114fffff,35
105,892a1001153ffff,10
106,892a1001157ffff,20
107,892a100115bffff,5
108,892a1001163ffff,101
109,892a1001167ffff,59
110,892a100116bffff,40
111,892a100116fffff,51
112,892a1001173ffff,4
113,892a100117bffff,24
114,892a1001183ffff,2
115,892a1001187ffff,1
116,892a100118bffff,6
117,892a100119bffff,1
118,892a10011a3ffff,56
119,892a10011a7ffff,91
120,892a10011abffff,1
121,892a10011afffff,28
122,892a10011b3ffff,4
123,892a10011b7ffff,11
124,892a10011c3ffff,8
125,892a10011c7ffff,13
126,892a10011cbffff,31
127,892a10011cfffff,7
128,892a10011d3ffff,31
129,892a10011d7ffff,17
130,892a10011dbffff,48
131,892a1001203ffff,1019
