,hex9,cnt
0,0,61682
1,892a100002bffff,14
2,892a100002fffff,6
3,892a1000047ffff,26
4,892a1000063ffff,99
5,892a1000067ffff,109
6,892a1000073ffff,24
7,892a1000077ffff,22
8,892a100007bffff,74
9,892a100008fffff,1
10,892a1000243ffff,37
11,892a1000247ffff,5
12,892a100024bffff,39
13,892a100024fffff,54
14,892a1000253ffff,21
15,892a1000257ffff,75
16,892a100025bffff,98
17,892a1000267ffff,9
18,892a100026bffff,3
19,892a100026fffff,6
20,892a1000287ffff,32
21,892a1000293ffff,11
22,892a10002a3ffff,7
23,892a10002afffff,2
24,892a10002c3ffff,35
25,892a10002c7ffff,42
26,892a10002cfffff,6
27,892a10002d3ffff,8
28,892a1000383ffff,358
29,892a1000387ffff,119
30,892a100038bffff,1
31,892a100038fffff,4
32,892a1000393ffff,211
33,892a1000397ffff,76
34,892a100039bffff,106
35,892a10003b3ffff,79
36,892a10003b7ffff,19
37,892a10003bbffff,11
38,892a100060bffff,48
39,892a100066bffff,6
40,892a100066fffff,3
41,892a100067bffff,22
42,892a1000687ffff,1
43,892a100068bffff,14
44,892a10006d7ffff,21
45,892a100086bffff,1
46,892a100086fffff,2
47,892a100090fffff,66
48,892a1000923ffff,132
49,892a1000927ffff,140
50,892a100092bffff,172
51,892a100092fffff,250
52,892a1000937ffff,19
53,892a100093bffff,145
54,892a1000967ffff,49
55,892a1000977ffff,93
56,892a1000a2bffff,55
57,892a1000a2fffff,15
58,892a1000a63ffff,13
59,892a1000a67ffff,121
60,892a1000a6fffff,130
61,892a1000acbffff,61
62,892a1000b03ffff,72
63,892a1000b07ffff,83
64,892a1000b0bffff,86
65,892a1000b0fffff,31
66,892a1000b13ffff,39
67,892a1000b17ffff,24
68,892a1000b1bffff,86
69,892a1000b23ffff,31
70,892a1000b27ffff,62
71,892a1000b2bffff,76
72,892a1000b2fffff,35
73,892a1000b33ffff,53
74,892a1000b37ffff,63
75,892a1000b3bffff,57
76,892a1000b43ffff,7
77,892a1000b47ffff,1
78,892a1000b4bffff,147
79,892a1000b4fffff,46
80,892a1000b53ffff,12
81,892a1000b57ffff,21
82,892a1000b5bffff,18
83,892a1000b63ffff,5
84,892a1000b67ffff,42
85,892a1000b6bffff,52
86,892a1000b6fffff,52
87,892a1000b73ffff,23
88,892a1000b77ffff,21
89,892a1000b7bffff,19
90,892a1000b83ffff,2
91,892a1000b8bffff,2
92,892a1000b9bffff,5
93,892a1000ba7ffff,1
94,892a1000babffff,27
95,892a1000bafffff,54
96,892a1000bc3ffff,2
97,892a1000bcfffff,136
98,892a1000bd7ffff,12
99,892a1001003ffff,120
100,892a1001007ffff,112
101,892a100100bffff,105
102,892a100100fffff,167
103,892a1001013ffff,39
104,892a1001017ffff,50
105,892a100101bffff,99
106,892a1001023ffff,60
107,892a1001027ffff,110
108,892a100102bffff,220
109,892a100102fffff,135
110,892a1001033ffff,67
111,892a1001037ffff,117
112,892a100103bffff,115
113,892a1001043ffff,285
114,892a1001047ffff,105
115,892a100104bffff,129
116,892a100104fffff,43
117,892a1001053ffff,138
118,892a1001057ffff,76
119,892a100105bffff,184
120,892a1001063ffff,112
121,892a1001067ffff,128
122,892a100106bffff,87
123,892a100106fffff,189
124,892a1001073ffff,110
125,892a1001077ffff,145
126,892a100107bffff,167
127,892a1001083ffff,76
128,892a1001087ffff,131
129,892a100108bffff,74
130,892a100108fffff,31
131,892a1001093ffff,103
132,892a1001097ffff,12
133,892a100109bffff,48
134,892a10010a3ffff,116
135,892a10010a7ffff,123
136,892a10010abffff,123
137,892a10010afffff,153
138,892a10010b3ffff,125
139,892a10010b7ffff,54
140,892a10010bbffff,70
141,892a10010c3ffff,73
142,892a10010c7ffff,57
143,892a10010cbffff,108
144,892a10010cfffff,74
145,892a10010d3ffff,207
146,892a10010d7ffff,72
147,892a10010dbffff,165
148,892a1001103ffff,183
149,892a1001107ffff,56
150,892a100110bffff,51
151,892a100110fffff,69
152,892a1001113ffff,138
153,892a1001117ffff,129
154,892a100111bffff,183
155,892a1001127ffff,55
156,892a100112bffff,52
157,892a100112fffff,20
158,892a1001133ffff,15
159,892a1001137ffff,103
160,892a100113bffff,49
161,892a1001143ffff,141
162,892a1001147ffff,105
163,892a100114bffff,118
164,892a100114fffff,206
165,892a1001153ffff,95
166,892a1001157ffff,249
167,892a100115bffff,53
168,892a1001163ffff,180
169,892a1001167ffff,93
170,892a100116bffff,108
171,892a100116fffff,156
172,892a1001173ffff,38
173,892a1001177ffff,128
174,892a100117bffff,159
175,892a1001183ffff,47
176,892a1001187ffff,56
177,892a100118bffff,120
178,892a100118fffff,216
179,892a1001193ffff,4
180,892a1001197ffff,22
181,892a100119bffff,72
182,892a10011a3ffff,157
183,892a10011a7ffff,243
184,892a10011abffff,20
185,892a10011afffff,132
186,892a10011b3ffff,36
187,892a10011b7ffff,82
188,892a10011bbffff,62
189,892a10011c3ffff,146
190,892a10011c7ffff,126
191,892a10011cbffff,181
192,892a10011cfffff,183
193,892a10011d3ffff,120
194,892a10011d7ffff,59
195,892a10011dbffff,42
196,892a1001203ffff,238
197,892a1001207ffff,237
198,892a100120bffff,50
199,892a100120fffff,305
200,892a1001213ffff,172
201,892a1001217ffff,91
202,892a100121bffff,186
203,892a1001223ffff,230
204,892a1001227ffff,6
205,892a100122bffff,94
206,892a100122fffff,28
207,892a1001233ffff,148
208,892a1001237ffff,53
209,892a100123bffff,43
210,892a1001243ffff,39
211,892a1001247ffff,63
212,892a100124bffff,129
213,892a100124fffff,75
214,892a1001253ffff,99
215,892a1001257ffff,54
216,892a100125bffff,139
217,892a1001263ffff,123
218,892a1001267ffff,284
219,892a100126bffff,195
220,892a100126fffff,159
221,892a1001273ffff,87
222,892a1001277ffff,190
223,892a100127bffff,171
224,892a1001283ffff,166
225,892a1001287ffff,53
226,892a100128bffff,276
227,892a100128fffff,141
228,892a1001293ffff,127
229,892a1001297ffff,217
230,892a100129bffff,274
231,892a10012a3ffff,223
232,892a10012abffff,195
233,892a10012afffff,54
234,892a10012b3ffff,136
235,892a10012b7ffff,27
236,892a10012bbffff,230
237,892a10012c3ffff,283
238,892a10012c7ffff,33
239,892a10012cbffff,135
240,892a10012cfffff,50
241,892a10012d3ffff,182
242,892a10012d7ffff,180
243,892a10012dbffff,192
244,892a1001303ffff,96
245,892a1001307ffff,108
246,892a100130bffff,51
247,892a100130fffff,16
248,892a1001313ffff,128
249,892a1001317ffff,164
250,892a1001323ffff,50
251,892a1001327ffff,160
252,892a1001333ffff,142
253,892a1001337ffff,124
254,892a100133bffff,2
255,892a1001343ffff,157
256,892a1001347ffff,165
257,892a100134bffff,194
258,892a100134fffff,240
259,892a1001353ffff,3
260,892a100135bffff,11
261,892a1001363ffff,17
262,892a100136bffff,133
263,892a100136fffff,88
264,892a1001377ffff,7
265,892a100137bffff,133
266,892a1001383ffff,85
267,892a1001387ffff,111
268,892a100138bffff,131
269,892a100138fffff,143
270,892a1001393ffff,116
271,892a1001397ffff,67
272,892a100139bffff,133
273,892a10013a3ffff,191
274,892a10013a7ffff,105
275,892a10013abffff,149
276,892a10013afffff,195
277,892a10013b3ffff,161
278,892a10013b7ffff,144
279,892a10013bbffff,108
280,892a10013c7ffff,20
281,892a10013cfffff,4
282,892a10013d3ffff,49
283,892a10013d7ffff,140
284,892a1001403ffff,179
285,892a1001407ffff,128
286,892a100140bffff,134
287,892a100140fffff,146
288,892a1001413ffff,222
289,892a1001417ffff,117
290,892a100141bffff,142
291,892a1001423ffff,17
292,892a1001427ffff,141
293,892a100142bffff,49
294,892a100142fffff,23
295,892a1001433ffff,50
296,892a1001437ffff,23
297,892a100143bffff,166
298,892a1001443ffff,182
299,892a1001447ffff,148
300,892a100144bffff,88
301,892a100144fffff,316
302,892a1001453ffff,180
303,892a1001457ffff,120
304,892a100145bffff,193
305,892a1001463ffff,136
306,892a1001467ffff,86
307,892a100146bffff,128
308,892a100146fffff,107
309,892a1001473ffff,113
310,892a1001477ffff,94
311,892a100147bffff,200
312,892a100148bffff,39
313,892a10014a3ffff,92
314,892a10014a7ffff,213
315,892a10014abffff,110
316,892a10014afffff,105
317,892a10014b7ffff,34
318,892a10014bbffff,7
319,892a10014c3ffff,198
320,892a10014c7ffff,191
321,892a10014cbffff,79
322,892a10014cfffff,160
323,892a10014d3ffff,104
324,892a10014d7ffff,107
325,892a10014dbffff,199
326,892a1001503ffff,17
327,892a1001507ffff,106
328,892a100150bffff,26
329,892a100150fffff,6
330,892a1001513ffff,110
331,892a100151bffff,43
332,892a1001523ffff,44
333,892a1001527ffff,74
334,892a100152bffff,47
335,892a1001533ffff,20
336,892a1001537ffff,28
337,892a100153bffff,203
338,892a1001543ffff,162
339,892a1001547ffff,57
340,892a100154bffff,79
341,892a100154fffff,141
342,892a1001553ffff,164
343,892a1001557ffff,72
344,892a100155bffff,136
345,892a1001563ffff,288
346,892a1001567ffff,149
347,892a100156bffff,144
348,892a100156fffff,188
349,892a1001573ffff,41
350,892a1001577ffff,113
351,892a100157bffff,69
352,892a100158bffff,118
353,892a100159bffff,7
354,892a10015afffff,1
355,892a10015c3ffff,263
356,892a10015c7ffff,98
357,892a10015cbffff,65
358,892a10015cfffff,89
359,892a10015d3ffff,190
360,892a10015d7ffff,163
361,892a10015dbffff,121
362,892a1001613ffff,58
363,892a100161bffff,54
364,892a1001627ffff,15
365,892a1001633ffff,3
366,892a1001637ffff,90
367,892a1001643ffff,2
368,892a1001647ffff,5
369,892a1001657ffff,60
370,892a1001667ffff,74
371,892a1001677ffff,51
372,892a1001683ffff,114
373,892a1001687ffff,205
374,892a100168bffff,130
375,892a100168fffff,77
376,892a1001693ffff,32
377,892a1001697ffff,74
378,892a100169bffff,151
379,892a10016a3ffff,207
380,892a10016a7ffff,162
381,892a10016abffff,1
382,892a10016afffff,162
383,892a10016b3ffff,154
384,892a10016b7ffff,135
385,892a10016c7ffff,56
386,892a10016d7ffff,6
387,892a1001803ffff,8
388,892a1001807ffff,38
389,892a100180bffff,27
390,892a100180fffff,7
391,892a1001813ffff,38
392,892a1001817ffff,45
393,892a100181bffff,57
394,892a1001837ffff,3
395,892a1001843ffff,23
396,892a1001847ffff,80
397,892a100184bffff,99
398,892a100184fffff,61
399,892a1001853ffff,82
400,892a1001857ffff,42
401,892a100185bffff,85
402,892a1001863ffff,44
403,892a1001867ffff,49
404,892a100186bffff,30
405,892a100186fffff,11
406,892a1001873ffff,113
407,892a1001877ffff,24
408,892a100187bffff,94
409,892a1001883ffff,2
