,hex9,cnt
0,0,411
1,892a100002bffff,12
2,892a1000047ffff,1
3,892a1000063ffff,5
4,892a1000067ffff,18
5,892a1000073ffff,1
6,892a100007bffff,4
7,892a1000243ffff,5
8,892a100024bffff,3
9,892a1000253ffff,43
10,892a100025bffff,36
11,892a1000383ffff,7
12,892a1000387ffff,32
13,892a1000393ffff,10
14,892a1000397ffff,7
15,892a10003b3ffff,2
16,892a10003bbffff,5
17,892a1000927ffff,1
18,892a100092fffff,1
19,892a1000a2bffff,8
20,892a1000a67ffff,2
21,892a1000a6fffff,3
22,892a1000acbffff,4
23,892a1000b03ffff,12
24,892a1000b07ffff,8
25,892a1000b0bffff,6
26,892a1000b0fffff,3
27,892a1000b13ffff,8
28,892a1000b17ffff,23
29,892a1000b1bffff,11
30,892a1000b23ffff,2
31,892a1000b3bffff,2
32,892a1000b43ffff,8
33,892a1000b4bffff,4
34,892a1000b53ffff,1
35,892a1000b57ffff,4
36,892a1000b67ffff,16
37,892a1000b6bffff,4
38,892a1000b6fffff,2
39,892a1000b77ffff,27
40,892a1000babffff,35
41,892a1000bc7ffff,2
42,892a1001003ffff,114
43,892a1001007ffff,60
44,892a100100bffff,132
45,892a100100fffff,64
46,892a1001013ffff,98
47,892a1001017ffff,200
48,892a100101bffff,361
49,892a1001023ffff,43
50,892a1001027ffff,34
51,892a100102bffff,66
52,892a100102fffff,19
53,892a1001033ffff,3
54,892a1001037ffff,25
55,892a100103bffff,72
56,892a1001043ffff,89
57,892a1001047ffff,215
58,892a100104bffff,682
59,892a100104fffff,40
60,892a1001053ffff,519
61,892a1001057ffff,286
62,892a100105bffff,432
63,892a1001063ffff,414
64,892a1001067ffff,524
65,892a100106bffff,36
66,892a100106fffff,610
67,892a1001073ffff,146
68,892a1001077ffff,167
69,892a100107bffff,670
70,892a1001083ffff,68
71,892a1001087ffff,237
72,892a100108bffff,103
73,892a100108fffff,256
74,892a1001093ffff,92
75,892a1001097ffff,43
76,892a100109bffff,68
77,892a10010a3ffff,65
78,892a10010a7ffff,67
79,892a10010abffff,32
80,892a10010afffff,64
81,892a10010b3ffff,61
82,892a10010b7ffff,57
83,892a10010bbffff,195
84,892a10010c3ffff,266
85,892a10010c7ffff,246
86,892a10010cbffff,178
87,892a10010cfffff,564
88,892a10010d3ffff,272
89,892a10010d7ffff,206
90,892a10010dbffff,384
91,892a1001103ffff,258
92,892a1001107ffff,2
93,892a1001113ffff,1
94,892a1001117ffff,1
95,892a100111bffff,8
96,892a1001127ffff,11
97,892a100112bffff,1
98,892a1001137ffff,11
99,892a1001143ffff,44
100,892a1001147ffff,1
101,892a100114bffff,2
102,892a100114fffff,37
103,892a1001153ffff,16
104,892a1001157ffff,19
105,892a100115bffff,1
106,892a1001163ffff,34
107,892a1001167ffff,121
108,892a100116bffff,17
109,892a100116fffff,40
110,892a1001173ffff,2
111,892a1001177ffff,2
112,892a100117bffff,30
113,892a1001187ffff,3
114,892a100118bffff,4
115,892a100118fffff,8
116,892a100119bffff,4
117,892a10011a3ffff,52
118,892a10011a7ffff,82
119,892a10011abffff,3
120,892a10011afffff,25
121,892a10011b7ffff,21
122,892a10011bbffff,1
123,892a10011c3ffff,7
124,892a10011c7ffff,13
125,892a10011cbffff,27
126,892a10011cfffff,10
127,892a10011d3ffff,30
128,892a10011d7ffff,11
129,892a10011dbffff,55
130,892a1001203ffff,530
131,892a1001207ffff,458
132,892a100120fffff,727
133,892a1001213ffff,325
134,892a1001217ffff,160
135,892a100121bffff,1
136,892a1001223ffff,211
137,892a100122bffff,975
138,892a100122fffff,34
139,892a1001233ffff,387
140,892a1001237ffff,71
141,892a100123bffff,284
142,892a1001243ffff,74
143,892a100124bffff,244
144,892a100124fffff,714
145,892a1001253ffff,12
146,892a100125bffff,199
147,892a1001263ffff,591
148,892a1001267ffff,767
149,892a100126bffff,185
150,892a100126fffff,400
151,892a1001273ffff,233
152,892a1001277ffff,813
153,892a100127bffff,493
154,892a1001283ffff,98
155,892a1001287ffff,142
156,892a100128bffff,227
157,892a100128fffff,553
158,892a1001293ffff,373
159,892a1001297ffff,432
160,892a100129bffff,473
161,892a10012a3ffff,203
162,892a10012abffff,484
163,892a10012afffff,29
164,892a10012b3ffff,245
165,892a10012b7ffff,19
166,892a10012bbffff,395
167,892a10012c3ffff,18
168,892a10012c7ffff,141
169,892a10012cbffff,55
170,892a10012d3ffff,10
171,892a10012d7ffff,265
172,892a10012dbffff,152
173,892a1001303ffff,10
174,892a1001307ffff,110
175,892a1001313ffff,280
176,892a1001317ffff,304
177,892a1001323ffff,119
178,892a1001327ffff,121
179,892a1001333ffff,419
180,892a1001337ffff,68
181,892a1001343ffff,30
182,892a1001347ffff,33
183,892a100134bffff,168
184,892a100134fffff,783
185,892a1001363ffff,123
186,892a100136bffff,532
187,892a100136fffff,134
188,892a100137bffff,948
189,892a1001383ffff,71
190,892a1001387ffff,6
191,892a100138bffff,118
192,892a100138fffff,376
193,892a1001393ffff,139
194,892a1001397ffff,5
195,892a100139bffff,278
196,892a10013a3ffff,59
197,892a10013a7ffff,21
198,892a10013abffff,446
199,892a10013afffff,76
200,892a10013b3ffff,24
201,892a10013b7ffff,26
202,892a10013bbffff,618
203,892a10013c7ffff,104
204,892a10013d3ffff,222
205,892a10013d7ffff,136
206,892a1001403ffff,48
207,892a1001407ffff,87
208,892a100140bffff,57
209,892a100140fffff,60
210,892a1001413ffff,26
211,892a1001417ffff,20
212,892a100141bffff,73
213,892a1001423ffff,2
214,892a1001427ffff,20
215,892a100142bffff,4
216,892a100142fffff,8
217,892a1001433ffff,20
218,892a1001437ffff,14
219,892a100143bffff,22
220,892a1001443ffff,263
221,892a1001447ffff,77
222,892a100144bffff,242
223,892a100144fffff,309
224,892a1001453ffff,134
225,892a1001457ffff,47
226,892a100145bffff,288
227,892a1001463ffff,141
228,892a1001467ffff,111
229,892a100146bffff,137
230,892a100146fffff,196
231,892a1001473ffff,77
232,892a1001477ffff,47
233,892a100147bffff,108
234,892a10014a3ffff,34
235,892a10014a7ffff,96
236,892a10014abffff,41
237,892a10014afffff,79
238,892a10014b7ffff,1
239,892a10014c3ffff,43
240,892a10014c7ffff,58
241,892a10014cbffff,92
242,892a10014cfffff,45
243,892a10014d3ffff,52
244,892a10014d7ffff,48
245,892a10014dbffff,525
246,892a1001503ffff,77
247,892a1001507ffff,72
248,892a100150bffff,27
249,892a100150fffff,29
250,892a1001513ffff,92
251,892a100151bffff,51
252,892a1001527ffff,36
253,892a1001533ffff,9
254,892a1001537ffff,15
255,892a100153bffff,48
256,892a1001543ffff,21
257,892a1001547ffff,31
258,892a100154bffff,55
259,892a100154fffff,40
260,892a1001553ffff,7
261,892a1001557ffff,139
262,892a100155bffff,34
263,892a1001563ffff,91
264,892a1001567ffff,2
265,892a100156bffff,42
266,892a100156fffff,15
267,892a1001573ffff,29
268,892a1001577ffff,2
269,892a100157bffff,50
270,892a10015c3ffff,15
271,892a10015c7ffff,11
272,892a10015cbffff,18
273,892a10015cfffff,32
274,892a10015d7ffff,1
275,892a10015dbffff,10
276,892a1001613ffff,8
277,892a100161bffff,8
278,892a1001627ffff,9
279,892a1001637ffff,284
280,892a1001667ffff,359
281,892a1001683ffff,29
282,892a1001687ffff,57
283,892a100168bffff,33
284,892a100168fffff,12
285,892a1001693ffff,47
286,892a1001697ffff,4
287,892a100169bffff,6
288,892a10016a3ffff,433
289,892a10016a7ffff,225
290,892a10016afffff,662
291,892a10016b3ffff,568
292,892a10016b7ffff,246
293,892a10016c7ffff,13
294,892a1001807ffff,4
295,892a100180bffff,1
296,892a1001843ffff,37
297,892a1001847ffff,34
298,892a100184bffff,58
299,892a100184fffff,103
300,892a1001853ffff,23
301,892a1001857ffff,4
302,892a100185bffff,83
303,892a1001863ffff,41
304,892a1001867ffff,1
305,892a100186bffff,1
306,892a100186fffff,25
307,892a1001873ffff,17
308,892a1001877ffff,8
309,892a100187bffff,20
310,892a1001893ffff,17
311,892a1001897ffff,1
312,892a10018a7ffff,6
313,892a10018b7ffff,7
314,892a10018c3ffff,2
315,892a10018cbffff,48
316,892a10018cfffff,6
317,892a10018dbffff,4
318,892a100192bffff,1
319,892a100193bffff,2
320,892a10019abffff,1
321,892a10019d3ffff,18
322,892a1001a0bffff,48
323,892a1001a13ffff,54
324,892a1001a17ffff,116
325,892a1001a1bffff,98
326,892a1001a33ffff,78
327,892a1001a43ffff,83
328,892a1001a47ffff,33
329,892a1001a4bffff,9
330,892a1001a4fffff,34
331,892a1001a53ffff,1960
332,892a1001a57ffff,68
333,892a1001a5bffff,30
334,892a1001a83ffff,120
335,892a1001a87ffff,74
336,892a1001a8bffff,6
337,892a1001a8fffff,32
338,892a1001a93ffff,42
339,892a1001a9bffff,20
340,892a1001aa3ffff,68
341,892a1001aa7ffff,68
342,892a1001aabffff,148
343,892a1001aafffff,79
344,892a1001ab3ffff,14
345,892a1001ab7ffff,20
346,892a1001abbffff,94
347,892a1001ac3ffff,418
348,892a1001ac7ffff,60
349,892a1001acbffff,700
350,892a1001acfffff,159
351,892a1001ad3ffff,166
352,892a1001ad7ffff,72
353,892a1001adbffff,692
354,892a1001b27ffff,10
355,892a1001b2fffff,1
356,892a1001b37ffff,3
357,892a1001b8bffff,4
358,892a1001bc3ffff,27
359,892a1001bc7ffff,7
360,892a1001bcfffff,1
361,892a1001bd3ffff,32
362,892a1001bd7ffff,49
363,892a1001bdbffff,75
364,892a1001c03ffff,9
365,892a1001c07ffff,3
366,892a1001c0bffff,5
367,892a1001c0fffff,33
368,892a1001c13ffff,11
369,892a1001c17ffff,17
370,892a1001c1bffff,6
371,892a1001c23ffff,11
372,892a1001c27ffff,12
373,892a1001c2bffff,9
374,892a1001c2fffff,16
375,892a1001c33ffff,8
376,892a1001c37ffff,13
377,892a1001c3bffff,23
378,892a1001c43ffff,19
379,892a1001c47ffff,29
380,892a1001c4bffff,9
381,892a1001c4fffff,31
382,892a1001c53ffff,81
383,892a1001c57ffff,18
384,892a1001c67ffff,15
385,892a1001c73ffff,1
386,892a1001c77ffff,3
387,892a1001c7bffff,11
388,892a1001c83ffff,12
389,892a1001c8bffff,9
390,892a1001c93ffff,3
391,892a1001c97ffff,14
392,892a1001c9bffff,5
393,892a1001ca3ffff,5
394,892a1001cabffff,8
395,892a1001cafffff,6
396,892a1001cbbffff,1
397,892a1001cc3ffff,738
398,892a1001cc7ffff,19
399,892a1001ccbffff,21
400,892a1001ccfffff,55
401,892a1001cd3ffff,1
402,892a1001cd7ffff,1
403,892a1001cdbffff,122
404,892a1001d03ffff,2
405,892a1001d07ffff,2
406,892a1001d0bffff,3
407,892a1001d0fffff,13
408,892a1001d13ffff,3
409,892a1001d17ffff,40
410,892a1001d1bffff,1
411,892a1001d43ffff,18
412,892a1001d47ffff,11
413,892a1001d53ffff,33
414,892a1001d57ffff,14
415,892a1001d5bffff,29
416,892a1001d63ffff,9
417,892a1001d6bffff,41
418,892a1001d6fffff,4
419,892a1001d73ffff,20
420,892a1001d77ffff,5
421,892a1001d7bffff,52
422,892a1001dabffff,2
423,892a1001dafffff,6
424,892a1001dc3ffff,1
425,892a1001dcbffff,2
426,892a1001ddbffff,29
427,892a1001e03ffff,150
428,892a1001e07ffff,331
429,892a1001e0bffff,169
430,892a1001e0fffff,144
431,892a1001e13ffff,90
432,892a1001e17ffff,100
433,892a1001e1bffff,213
434,892a1001e23ffff,127
435,892a1001e27ffff,143
436,892a1001e2bffff,479
437,892a1001e2fffff,125
438,892a1001e33ffff,117
439,892a1001e37ffff,123
440,892a1001e3bffff,375
441,892a1001e43ffff,284
442,892a1001e47ffff,678
443,892a1001e4bffff,177
444,892a1001e4fffff,335
445,892a1001e53ffff,159
446,892a1001e57ffff,148
447,892a1001e5bffff,311
448,892a1001e63ffff,115
449,892a1001e67ffff,148
450,892a1001e6bffff,553
451,892a1001e6fffff,243
452,892a1001e73ffff,145
453,892a1001e77ffff,77
454,892a1001e7bffff,210
455,892a1001e83ffff,86
456,892a1001e87ffff,265
457,892a1001e8bffff,136
458,892a1001e8fffff,115
459,892a1001e93ffff,85
460,892a1001e97ffff,36
461,892a1001e9bffff,34
462,892a1001ea3ffff,32
463,892a1001eabffff,26
464,892a1001eafffff,34
465,892a1001eb3ffff,29
466,892a1001eb7ffff,4
467,892a1001ebbffff,186
468,892a1001ec3ffff,61
469,892a1001ec7ffff,40
470,892a1001ecbffff,124
471,892a1001ecfffff,34
472,892a1001ed3ffff,40
473,892a1001ed7ffff,28
474,892a1001edbffff,58
475,892a1003367ffff,8
476,892a100420bffff,3
477,892a100421bffff,7
478,892a1004243ffff,3
479,892a1004247ffff,15
480,892a1004253ffff,5
481,892a1004257ffff,1
482,892a100425bffff,5
483,892a100426bffff,1
484,892a1004273ffff,4
485,892a100427bffff,1
486,892a10042c3ffff,3
487,892a10042cbffff,9
488,892a10042d7ffff,1
489,892a10042dbffff,3
490,892a100466bffff,8
491,892a1005003ffff,1
492,892a100500bffff,19
493,892a100500fffff,14
494,892a100501bffff,14
495,892a1005027ffff,7
496,892a100502bffff,2
497,892a100502fffff,1
498,892a1005043ffff,3
499,892a1005047ffff,14
500,892a100504bffff,3
501,892a100504fffff,16
502,892a1005053ffff,8
503,892a1005057ffff,25
504,892a1005063ffff,4
505,892a1005067ffff,4
506,892a100506bffff,3
507,892a100506fffff,3
508,892a1005073ffff,6
509,892a1005077ffff,1
510,892a100507bffff,8
511,892a1005087ffff,5
512,892a1005093ffff,1
513,892a10050cfffff,6
514,892a1005103ffff,14
515,892a1005107ffff,3
516,892a100510bffff,33
517,892a100510fffff,17
518,892a1005117ffff,1
519,892a100511bffff,7
520,892a1005123ffff,3
521,892a100512bffff,6
522,892a100512fffff,41
523,892a1005133ffff,12
524,892a100513bffff,4
525,892a1005143ffff,12
526,892a1005147ffff,9
527,892a100514fffff,28
528,892a1005157ffff,16
529,892a100515bffff,6
530,892a1005163ffff,2
531,892a1005167ffff,21
532,892a100516bffff,12
533,892a100516fffff,6
534,892a1005173ffff,36
535,892a1005177ffff,6
536,892a100517bffff,4
537,892a100518fffff,7
538,892a1005197ffff,4
539,892a10051a3ffff,10
540,892a10051abffff,13
541,892a10051afffff,7
542,892a10051b7ffff,1
543,892a10051bbffff,3
544,892a10051c3ffff,8
545,892a10051c7ffff,3
546,892a10051cbffff,2
547,892a10051cfffff,3
548,892a1005207ffff,42
549,892a100520bffff,3
550,892a100520fffff,2
551,892a1005213ffff,5
552,892a1005217ffff,1
553,892a100521bffff,4
554,892a1005223ffff,2
555,892a1005227ffff,7
556,892a100522bffff,10
557,892a100522fffff,1
558,892a100523bffff,1
559,892a1005243ffff,5
560,892a100524bffff,1
561,892a100524fffff,3
562,892a1005253ffff,2
563,892a1005257ffff,6
564,892a100525bffff,2
565,892a1005267ffff,31
566,892a100526bffff,2
567,892a100526fffff,17
568,892a1005277ffff,15
569,892a100528bffff,4
570,892a1005293ffff,5
571,892a100529bffff,5
572,892a10052a7ffff,2
573,892a10052abffff,2
574,892a10052b7ffff,1
575,892a10052c7ffff,2
576,892a10052cbffff,5
577,892a10052cfffff,4
578,892a10052d3ffff,1
579,892a10052d7ffff,8
580,892a10052dbffff,11
581,892a1005307ffff,5
582,892a1005317ffff,1
583,892a1005323ffff,8
584,892a1005327ffff,8
585,892a100532bffff,15
586,892a100532fffff,14
587,892a1005333ffff,46
588,892a1005337ffff,22
589,892a100533bffff,59
590,892a1005343ffff,4
591,892a100535bffff,1
592,892a1005367ffff,2
593,892a100536fffff,3
594,892a1005377ffff,1
595,892a1005383ffff,1
596,892a1005387ffff,1
597,892a1005393ffff,3
598,892a100539bffff,13
599,892a10053a3ffff,27
600,892a10053a7ffff,5
601,892a10053afffff,28
602,892a10053b3ffff,1
