,hex9,cnt
0,0,19620
1,892a100002bffff,7
2,892a100002fffff,9
3,892a1000047ffff,25
4,892a1000063ffff,19
5,892a1000067ffff,33
6,892a1000073ffff,10
7,892a1000077ffff,2
8,892a100007bffff,12
9,892a1000243ffff,14
10,892a100024bffff,35
11,892a100024fffff,3
12,892a1000253ffff,7
13,892a1000257ffff,9
14,892a100025bffff,29
15,892a1000267ffff,3
16,892a100026fffff,2
17,892a1000293ffff,13
18,892a10002c3ffff,4
19,892a10002d3ffff,4
20,892a1000383ffff,58
21,892a1000387ffff,66
22,892a100038bffff,3
23,892a100038fffff,2
24,892a1000393ffff,91
25,892a1000397ffff,22
26,892a100039bffff,44
27,892a10003b3ffff,72
28,892a10003b7ffff,10
29,892a10003bbffff,4
30,892a100060bffff,14
31,892a100066bffff,2
32,892a1000673ffff,1
33,892a100067bffff,12
34,892a100068bffff,18
35,892a10006d7ffff,5
36,892a100086fffff,1
37,892a100090fffff,24
38,892a1000923ffff,45
39,892a1000927ffff,53
40,892a100092bffff,74
41,892a100092fffff,61
42,892a1000937ffff,52
43,892a100093bffff,48
44,892a1000967ffff,27
45,892a1000977ffff,27
46,892a1000a13ffff,1
47,892a1000a2bffff,24
48,892a1000a2fffff,16
49,892a1000a63ffff,34
50,892a1000a67ffff,87
51,892a1000a6fffff,95
52,892a1000acbffff,45
53,892a1000b03ffff,69
54,892a1000b07ffff,55
55,892a1000b0bffff,90
56,892a1000b0fffff,13
57,892a1000b13ffff,53
58,892a1000b17ffff,21
59,892a1000b1bffff,81
60,892a1000b23ffff,43
61,892a1000b27ffff,18
62,892a1000b2bffff,62
63,892a1000b2fffff,36
64,892a1000b33ffff,65
65,892a1000b37ffff,44
66,892a1000b3bffff,69
67,892a1000b43ffff,15
68,892a1000b4bffff,84
69,892a1000b4fffff,82
70,892a1000b53ffff,12
71,892a1000b57ffff,64
72,892a1000b5bffff,18
73,892a1000b63ffff,37
74,892a1000b67ffff,54
75,892a1000b6bffff,74
76,892a1000b6fffff,92
77,892a1000b73ffff,18
78,892a1000b77ffff,50
79,892a1000b7bffff,19
80,892a1000b8bffff,2
81,892a1000b9bffff,2
82,892a1000babffff,15
83,892a1000bafffff,28
84,892a1000bc3ffff,1
85,892a1000bc7ffff,1
86,892a1000bcfffff,20
87,892a1000bd3ffff,2
88,892a1001003ffff,118
89,892a1001007ffff,159
90,892a100100bffff,110
91,892a100100fffff,265
92,892a1001013ffff,129
93,892a1001017ffff,81
94,892a100101bffff,238
95,892a1001023ffff,133
96,892a1001027ffff,145
97,892a100102bffff,103
98,892a100102fffff,160
99,892a1001033ffff,82
100,892a1001037ffff,82
101,892a100103bffff,120
102,892a1001043ffff,174
103,892a1001047ffff,83
104,892a100104bffff,476
105,892a100104fffff,36
106,892a1001053ffff,172
107,892a1001057ffff,249
108,892a100105bffff,306
109,892a1001063ffff,221
110,892a1001067ffff,197
111,892a100106bffff,88
112,892a100106fffff,141
113,892a1001073ffff,151
114,892a1001077ffff,99
115,892a100107bffff,141
116,892a1001083ffff,116
117,892a1001087ffff,75
118,892a100108bffff,86
119,892a100108fffff,136
120,892a1001093ffff,113
121,892a1001097ffff,52
122,892a100109bffff,84
123,892a10010a3ffff,111
124,892a10010a7ffff,257
125,892a10010abffff,95
126,892a10010afffff,145
127,892a10010b3ffff,127
128,892a10010b7ffff,109
129,892a10010bbffff,124
130,892a10010c3ffff,174
131,892a10010c7ffff,86
132,892a10010cbffff,104
133,892a10010cfffff,236
134,892a10010d3ffff,239
135,892a10010d7ffff,130
136,892a10010dbffff,263
137,892a1001103ffff,35
138,892a1001107ffff,20
139,892a100110bffff,9
140,892a100110fffff,69
141,892a1001113ffff,83
142,892a1001117ffff,36
143,892a100111bffff,115
144,892a1001127ffff,28
145,892a100112bffff,33
146,892a100112fffff,9
147,892a1001133ffff,6
148,892a1001137ffff,100
149,892a100113bffff,32
150,892a1001143ffff,90
151,892a1001147ffff,45
152,892a100114bffff,31
153,892a100114fffff,71
154,892a1001153ffff,77
155,892a1001157ffff,94
156,892a100115bffff,94
157,892a1001163ffff,117
158,892a1001167ffff,71
159,892a100116bffff,136
160,892a100116fffff,89
161,892a1001173ffff,61
162,892a1001177ffff,38
163,892a100117bffff,83
164,892a1001183ffff,19
165,892a1001187ffff,9
166,892a100118bffff,78
167,892a100118fffff,19
168,892a1001193ffff,7
169,892a1001197ffff,2
170,892a100119bffff,30
171,892a10011a3ffff,128
172,892a10011a7ffff,80
173,892a10011abffff,32
174,892a10011afffff,51
175,892a10011b3ffff,4
176,892a10011b7ffff,44
177,892a10011bbffff,10
178,892a10011c3ffff,101
179,892a10011c7ffff,66
180,892a10011cbffff,78
181,892a10011cfffff,118
182,892a10011d3ffff,108
183,892a10011d7ffff,51
184,892a10011dbffff,27
185,892a1001203ffff,312
186,892a1001207ffff,171
187,892a100120bffff,2
188,892a100120fffff,477
189,892a1001213ffff,107
190,892a1001217ffff,137
191,892a100121bffff,70
192,892a1001223ffff,436
193,892a1001227ffff,2
194,892a100122bffff,568
195,892a100122fffff,8
196,892a1001233ffff,142
197,892a1001237ffff,111
198,892a100123bffff,180
199,892a1001243ffff,36
200,892a1001247ffff,4
201,892a100124bffff,362
202,892a100124fffff,259
203,892a1001253ffff,39
204,892a100125bffff,133
205,892a1001263ffff,468
206,892a1001267ffff,304
207,892a100126bffff,444
208,892a100126fffff,401
209,892a1001273ffff,234
210,892a1001277ffff,436
211,892a100127bffff,374
212,892a1001283ffff,123
213,892a1001287ffff,134
214,892a100128bffff,238
215,892a100128fffff,135
216,892a1001293ffff,189
217,892a1001297ffff,468
218,892a100129bffff,359
219,892a10012a3ffff,212
220,892a10012abffff,228
221,892a10012afffff,21
222,892a10012b3ffff,540
223,892a10012b7ffff,13
224,892a10012bbffff,264
225,892a10012c3ffff,114
226,892a10012c7ffff,16
227,892a10012cbffff,129
228,892a10012cfffff,10
229,892a10012d3ffff,28
230,892a10012d7ffff,156
231,892a10012dbffff,76
232,892a1001303ffff,24
233,892a1001307ffff,99
234,892a100130fffff,1
235,892a1001313ffff,131
236,892a1001317ffff,102
237,892a1001323ffff,80
238,892a1001327ffff,254
239,892a1001333ffff,122
240,892a1001337ffff,172
241,892a1001343ffff,40
242,892a1001347ffff,107
243,892a100134bffff,123
244,892a100134fffff,440
245,892a100135bffff,8
246,892a1001363ffff,27
247,892a100136bffff,308
248,892a100136fffff,133
249,892a100137bffff,235
250,892a1001383ffff,99
251,892a1001387ffff,79
252,892a100138bffff,80
253,892a100138fffff,176
254,892a1001393ffff,101
255,892a1001397ffff,48
256,892a100139bffff,144
257,892a10013a3ffff,85
258,892a10013a7ffff,82
259,892a10013abffff,163
260,892a10013afffff,58
261,892a10013b3ffff,58
262,892a10013b7ffff,61
263,892a10013bbffff,233
264,892a10013c7ffff,11
265,892a10013d3ffff,15
266,892a10013d7ffff,60
267,892a1001403ffff,81
268,892a1001407ffff,119
269,892a100140bffff,85
270,892a100140fffff,139
271,892a1001413ffff,130
272,892a1001417ffff,143
273,892a100141bffff,132
274,892a1001423ffff,18
275,892a1001427ffff,74
276,892a100142bffff,138
277,892a100142fffff,23
278,892a1001433ffff,94
279,892a1001437ffff,29
280,892a100143bffff,107
281,892a1001443ffff,231
282,892a1001447ffff,56
283,892a100144bffff,151
284,892a100144fffff,167
285,892a1001453ffff,197
286,892a1001457ffff,105
287,892a100145bffff,154
288,892a1001463ffff,130
289,892a1001467ffff,167
290,892a100146bffff,161
291,892a100146fffff,98
292,892a1001473ffff,102
293,892a1001477ffff,58
