,hex9,cnt
0,0,2106
1,892a1000063ffff,1
2,892a1000067ffff,11
3,892a1000243ffff,24
4,892a100024bffff,7
5,892a1000253ffff,32
6,892a100025bffff,47
7,892a1000383ffff,9
8,892a1000387ffff,20
9,892a1000393ffff,24
10,892a100039bffff,5
11,892a10003b3ffff,2
12,892a10003bbffff,2
13,892a100092fffff,1
14,892a1000977ffff,1
15,892a1000a2bffff,4
16,892a1000a67ffff,2
17,892a1000acbffff,4
18,892a1000b03ffff,13
19,892a1000b07ffff,10
20,892a1000b0bffff,7
21,892a1000b0fffff,1
22,892a1000b13ffff,20
23,892a1000b17ffff,25
24,892a1000b1bffff,7
25,892a1000b2bffff,1
26,892a1000b33ffff,1
27,892a1000b3bffff,8
28,892a1000b43ffff,9
29,892a1000b67ffff,3
30,892a1000b77ffff,32
31,892a1000babffff,3
32,892a1001003ffff,90
33,892a1001007ffff,34
34,892a100100bffff,49
35,892a100100fffff,92
36,892a1001013ffff,125
37,892a1001017ffff,139
38,892a100101bffff,212
39,892a1001023ffff,41
40,892a1001027ffff,23
41,892a100102bffff,36
42,892a100102fffff,62
43,892a1001033ffff,8
44,892a1001037ffff,46
45,892a100103bffff,41
46,892a1001043ffff,131
47,892a1001047ffff,83
48,892a100104bffff,506
49,892a100104fffff,35
50,892a1001053ffff,204
51,892a1001057ffff,232
52,892a100105bffff,566
53,892a1001063ffff,336
54,892a1001067ffff,687
55,892a100106bffff,55
56,892a100106fffff,643
57,892a1001073ffff,146
58,892a1001077ffff,133
59,892a100107bffff,729
60,892a1001083ffff,112
61,892a1001087ffff,240
62,892a100108bffff,52
63,892a100108fffff,312
64,892a1001093ffff,104
65,892a1001097ffff,40
66,892a100109bffff,103
67,892a10010a3ffff,86
68,892a10010a7ffff,84
69,892a10010abffff,8
70,892a10010afffff,89
71,892a10010b3ffff,45
72,892a10010b7ffff,38
73,892a10010bbffff,176
74,892a10010c3ffff,339
75,892a10010c7ffff,341
76,892a10010cbffff,331
77,892a10010cfffff,344
78,892a10010d3ffff,303
79,892a10010d7ffff,257
80,892a10010dbffff,432
81,892a1001103ffff,215
82,892a100110fffff,3
83,892a1001113ffff,1
84,892a1001127ffff,2
85,892a1001133ffff,5
86,892a1001137ffff,5
87,892a1001143ffff,16
88,892a1001147ffff,3
89,892a100114fffff,17
90,892a1001153ffff,19
91,892a1001157ffff,21
92,892a100115bffff,6
93,892a1001163ffff,52
94,892a1001167ffff,130
95,892a100116bffff,10
96,892a100116fffff,25
97,892a100117bffff,11
98,892a1001187ffff,1
99,892a100118bffff,5
100,892a100119bffff,8
101,892a10011a3ffff,23
102,892a10011a7ffff,66
103,892a10011afffff,26
104,892a10011b3ffff,7
105,892a10011b7ffff,7
106,892a10011bbffff,3
107,892a10011c3ffff,21
108,892a10011c7ffff,7
109,892a10011cbffff,31
110,892a10011d3ffff,13
111,892a10011d7ffff,3
112,892a10011dbffff,49
113,892a1001203ffff,787
114,892a1001207ffff,325
115,892a100120fffff,1089
116,892a1001213ffff,457
117,892a1001217ffff,237
118,892a100121bffff,1
119,892a1001223ffff,359
120,892a100122bffff,880
121,892a100122fffff,13
122,892a1001233ffff,490
123,892a1001237ffff,201
124,892a100123bffff,343
125,892a1001243ffff,53
126,892a100124bffff,428
127,892a100124fffff,585
128,892a1001253ffff,7
129,892a100125bffff,242
130,892a1001263ffff,490
131,892a1001267ffff,1252
132,892a100126bffff,283
133,892a100126fffff,754
134,892a1001273ffff,316
135,892a1001277ffff,1135
136,892a100127bffff,493
137,892a1001283ffff,79
138,892a1001287ffff,154
139,892a100128bffff,304
140,892a100128fffff,777
141,892a1001293ffff,706
142,892a1001297ffff,581
143,892a100129bffff,608
