,hex9,cnt
0,0,7124
1,892a100002bffff,2
2,892a1000063ffff,4
3,892a1000067ffff,73
4,892a1000243ffff,9
5,892a100024bffff,9
6,892a1000253ffff,18
7,892a100025bffff,13
8,892a1000383ffff,3
9,892a1000387ffff,78
10,892a1000393ffff,16
11,892a1000397ffff,5
12,892a100039bffff,1
13,892a10003b3ffff,9
14,892a10003bbffff,36
15,892a1000923ffff,1
16,892a100092bffff,1
17,892a100092fffff,1
18,892a100093bffff,1
19,892a1000977ffff,4
20,892a1000a2bffff,4
21,892a1000a2fffff,1
22,892a1000a67ffff,58
23,892a1000a6fffff,2
24,892a1000acbffff,8
25,892a1000b03ffff,126
26,892a1000b07ffff,4
27,892a1000b0bffff,5
28,892a1000b0fffff,30
29,892a1000b13ffff,11
30,892a1000b17ffff,15
31,892a1000b1bffff,3
32,892a1000b23ffff,5
33,892a1000b27ffff,7
34,892a1000b2bffff,1
35,892a1000b2fffff,1
36,892a1000b33ffff,1
37,892a1000b3bffff,4
38,892a1000b43ffff,7
39,892a1000b4bffff,4
40,892a1000b4fffff,7
41,892a1000b57ffff,3
42,892a1000b67ffff,28
43,892a1000b6bffff,8
44,892a1000b73ffff,11
45,892a1000b77ffff,20
46,892a1000b7bffff,1
47,892a1000babffff,28
48,892a1001003ffff,169
49,892a1001007ffff,68
50,892a100100bffff,261
51,892a100100fffff,122
52,892a1001013ffff,121
53,892a1001017ffff,205
54,892a100101bffff,627
55,892a1001023ffff,59
56,892a1001027ffff,104
57,892a100102bffff,114
58,892a100102fffff,47
59,892a1001033ffff,12
60,892a1001037ffff,63
61,892a100103bffff,126
62,892a1001043ffff,327
63,892a1001047ffff,536
64,892a100104bffff,2072
65,892a100104fffff,56
66,892a1001053ffff,1450
67,892a1001057ffff,679
68,892a100105bffff,1679
69,892a1001063ffff,1430
70,892a1001067ffff,1353
71,892a100106bffff,36
72,892a100106fffff,887
73,892a1001073ffff,295
74,892a1001077ffff,302
75,892a100107bffff,1109
76,892a1001083ffff,244
77,892a1001087ffff,403
78,892a100108bffff,98
79,892a100108fffff,432
80,892a1001093ffff,124
81,892a1001097ffff,161
82,892a100109bffff,110
83,892a10010a3ffff,167
84,892a10010a7ffff,161
85,892a10010abffff,38
86,892a10010afffff,126
87,892a10010b3ffff,71
88,892a10010b7ffff,114
89,892a10010bbffff,206
90,892a10010c3ffff,393
91,892a10010c7ffff,418
92,892a10010cbffff,311
93,892a10010cfffff,959
94,892a10010d3ffff,471
95,892a10010d7ffff,477
96,892a10010dbffff,1648
97,892a1001103ffff,524
98,892a100110fffff,2
99,892a1001113ffff,14
100,892a1001117ffff,54
101,892a100111bffff,414
102,892a1001127ffff,26
103,892a100112fffff,3
104,892a1001137ffff,35
105,892a100113bffff,33
106,892a1001143ffff,96
107,892a1001147ffff,14
108,892a100114bffff,5
109,892a100114fffff,284
110,892a1001153ffff,19
111,892a1001157ffff,26
112,892a100115bffff,12
113,892a1001163ffff,174
114,892a1001167ffff,289
115,892a100116bffff,158
116,892a100116fffff,540
117,892a1001173ffff,6
118,892a100117bffff,127
119,892a1001183ffff,6
120,892a1001187ffff,2
121,892a100118bffff,13
122,892a100118fffff,7
123,892a100119bffff,7
124,892a10011a3ffff,227
125,892a10011a7ffff,603
126,892a10011abffff,2
127,892a10011afffff,76
128,892a10011b3ffff,1
129,892a10011b7ffff,102
130,892a10011bbffff,1
131,892a10011c3ffff,32
132,892a10011c7ffff,96
133,892a10011cbffff,74
134,892a10011cfffff,26
135,892a10011d3ffff,52
136,892a10011d7ffff,13
137,892a10011dbffff,183
138,892a1001203ffff,2641
139,892a1001207ffff,4225
140,892a100120fffff,1924
141,892a1001213ffff,1798
142,892a1001217ffff,1228
143,892a100121bffff,27
144,892a1001223ffff,731
145,892a1001227ffff,2
146,892a100122bffff,1550
147,892a100122fffff,267
148,892a1001233ffff,4869
149,892a1001237ffff,1112
150,892a100123bffff,850
151,892a1001243ffff,608
152,892a100124bffff,1153
153,892a100124fffff,2833
154,892a1001253ffff,220
155,892a100125bffff,845
156,892a1001263ffff,2025
157,892a1001267ffff,4641
158,892a100126bffff,986
159,892a100126fffff,1890
160,892a1001273ffff,1175
161,892a1001277ffff,1844
162,892a100127bffff,1928
163,892a1001283ffff,260
164,892a1001287ffff,581
165,892a100128bffff,1698
166,892a100128fffff,1737
167,892a1001293ffff,1079
168,892a1001297ffff,1631
169,892a100129bffff,1790
170,892a10012a3ffff,868
171,892a10012abffff,1803
172,892a10012afffff,84
173,892a10012b3ffff,1590
174,892a10012b7ffff,96
175,892a10012bbffff,1577
176,892a10012c3ffff,23
177,892a10012c7ffff,312
178,892a10012cbffff,272
179,892a10012d3ffff,2
180,892a10012d7ffff,961
181,892a10012dbffff,550
182,892a1001303ffff,79
183,892a1001307ffff,560
184,892a1001313ffff,1794
185,892a1001317ffff,1964
186,892a1001323ffff,121
187,892a1001327ffff,334
188,892a1001333ffff,3869
189,892a1001337ffff,110
190,892a1001343ffff,76
191,892a1001347ffff,89
192,892a100134bffff,545
193,892a100134fffff,1810
194,892a1001363ffff,273
195,892a100136bffff,923
196,892a100136fffff,440
197,892a100137bffff,2329
198,892a1001383ffff,241
199,892a1001387ffff,18
200,892a100138bffff,708
201,892a100138fffff,858
202,892a1001393ffff,571
203,892a1001397ffff,54
204,892a100139bffff,919
205,892a10013a3ffff,273
206,892a10013a7ffff,78
