,hex9,cnt
0,0,11905
1,892a1000063ffff,4
2,892a1000067ffff,6
3,892a100007bffff,1
4,892a1000243ffff,18
5,892a100024bffff,17
6,892a1000253ffff,15
7,892a100025bffff,13
8,892a1000383ffff,48
9,892a1000387ffff,56
10,892a1000393ffff,16
11,892a1000397ffff,3
12,892a100039bffff,2
13,892a10003b3ffff,1
14,892a10003bbffff,10
15,892a10006d7ffff,4
16,892a100092fffff,1
17,892a1000977ffff,2
18,892a1000a2bffff,5
19,892a1000a2fffff,1
20,892a1000a67ffff,59
21,892a1000a6fffff,3
22,892a1000acbffff,11
23,892a1000b03ffff,42
24,892a1000b07ffff,5
25,892a1000b0bffff,5
26,892a1000b0fffff,9
27,892a1000b13ffff,3
28,892a1000b17ffff,13
29,892a1000b1bffff,4
30,892a1000b23ffff,1
31,892a1000b2bffff,4
32,892a1000b3bffff,9
33,892a1000b43ffff,7
34,892a1000b4bffff,2
35,892a1000b4fffff,4
36,892a1000b53ffff,1
37,892a1000b57ffff,2
38,892a1000b67ffff,2
39,892a1000b6bffff,7
40,892a1000b73ffff,5
41,892a1000b77ffff,11
42,892a1000babffff,5
43,892a1001003ffff,243
44,892a1001007ffff,27
45,892a100100bffff,62
46,892a100100fffff,201
47,892a1001013ffff,98
48,892a1001017ffff,124
49,892a100101bffff,720
50,892a1001023ffff,57
51,892a1001027ffff,50
52,892a100102bffff,86
53,892a100102fffff,109
54,892a1001033ffff,24
55,892a1001037ffff,49
56,892a100103bffff,80
57,892a1001043ffff,226
58,892a1001047ffff,135
59,892a100104bffff,902
60,892a100104fffff,53
61,892a1001053ffff,616
62,892a1001057ffff,316
63,892a100105bffff,939
64,892a1001063ffff,959
65,892a1001067ffff,795
66,892a100106bffff,23
67,892a100106fffff,769
68,892a1001073ffff,433
69,892a1001077ffff,172
70,892a100107bffff,1005
71,892a1001083ffff,231
72,892a1001087ffff,323
73,892a100108bffff,37
74,892a100108fffff,178
75,892a1001093ffff,201
76,892a1001097ffff,110
77,892a100109bffff,101
78,892a10010a3ffff,137
79,892a10010a7ffff,165
80,892a10010abffff,21
81,892a10010afffff,71
82,892a10010b3ffff,51
83,892a10010b7ffff,105
84,892a10010bbffff,136
85,892a10010c3ffff,565
86,892a10010c7ffff,263
87,892a10010cbffff,398
88,892a10010cfffff,485
89,892a10010d3ffff,512
90,892a10010d7ffff,550
91,892a10010dbffff,699
92,892a1001103ffff,192
93,892a100110bffff,1
94,892a100110fffff,16
95,892a1001113ffff,9
96,892a1001117ffff,1
97,892a100111bffff,7
98,892a1001127ffff,24
99,892a100112bffff,1
100,892a100112fffff,2
101,892a1001137ffff,16
102,892a100113bffff,3
103,892a1001143ffff,22
104,892a1001147ffff,2
105,892a100114bffff,3
106,892a100114fffff,126
107,892a1001153ffff,27
108,892a1001157ffff,35
109,892a100115bffff,5
110,892a1001163ffff,154
111,892a1001167ffff,173
112,892a100116bffff,41
113,892a100116fffff,206
114,892a100117bffff,14
115,892a1001183ffff,6
116,892a100118bffff,2
117,892a100118fffff,15
118,892a100119bffff,7
119,892a10011a3ffff,61
120,892a10011a7ffff,277
121,892a10011abffff,1
122,892a10011afffff,42
123,892a10011b3ffff,1
124,892a10011b7ffff,67
125,892a10011c3ffff,12
126,892a10011c7ffff,21
127,892a10011cbffff,70
128,892a10011cfffff,5
129,892a10011d3ffff,31
130,892a10011d7ffff,6
131,892a10011dbffff,72
132,892a1001203ffff,2111
133,892a1001207ffff,1243
134,892a100120fffff,1829
135,892a1001213ffff,2222
136,892a1001217ffff,427
137,892a100121bffff,42
138,892a1001223ffff,410
139,892a100122bffff,1373
140,892a100122fffff,77
141,892a1001233ffff,1974
142,892a1001237ffff,284
143,892a100123bffff,1079
144,892a1001243ffff,287
145,892a100124bffff,1106
146,892a100124fffff,1732
147,892a1001253ffff,62
148,892a100125bffff,564
149,892a1001263ffff,1401
150,892a1001267ffff,1771
151,892a100126bffff,680
152,892a100126fffff,1721
153,892a1001273ffff,576
154,892a1001277ffff,1809
155,892a100127bffff,1025
156,892a1001283ffff,228
157,892a1001287ffff,344
158,892a100128bffff,1434
159,892a100128fffff,973
160,892a1001293ffff,1033
161,892a1001297ffff,754
162,892a100129bffff,1514
163,892a10012a3ffff,518
164,892a10012abffff,1113
165,892a10012afffff,81
166,892a10012b3ffff,1604
167,892a10012b7ffff,46
168,892a10012bbffff,1333
169,892a10012c3ffff,4
170,892a10012c7ffff,1378
171,892a10012cbffff,63
172,892a10012d3ffff,2
173,892a10012d7ffff,1024
174,892a10012dbffff,266
175,892a1001303ffff,48
176,892a1001307ffff,549
177,892a1001313ffff,893
178,892a1001317ffff,1099
179,892a1001323ffff,279
180,892a1001327ffff,269
181,892a1001333ffff,1483
182,892a1001337ffff,176
183,892a1001343ffff,112
184,892a1001347ffff,22
185,892a100134bffff,397
186,892a100134fffff,1031
187,892a1001363ffff,135
188,892a100136bffff,675
189,892a100136fffff,237
190,892a100137bffff,1303
191,892a1001383ffff,195
192,892a1001387ffff,10
193,892a100138bffff,432
194,892a100138fffff,1151
195,892a1001393ffff,328
196,892a1001397ffff,31
197,892a100139bffff,561
198,892a10013a3ffff,206
199,892a10013a7ffff,42
200,892a10013abffff,2218
201,892a10013afffff,226
202,892a10013b3ffff,335
203,892a10013b7ffff,130
204,892a10013bbffff,1662
205,892a10013c7ffff,332
206,892a10013d3ffff,656
207,892a10013d7ffff,539
208,892a1001403ffff,40
209,892a1001407ffff,104
210,892a100140bffff,50
211,892a100140fffff,77
212,892a1001413ffff,44
213,892a1001417ffff,84
214,892a100141bffff,279
215,892a1001427ffff,33
216,892a100142bffff,4
217,892a1001433ffff,31
218,892a1001437ffff,13
219,892a100143bffff,90
220,892a1001443ffff,385
221,892a1001447ffff,111
222,892a100144bffff,616
223,892a100144fffff,200
224,892a1001453ffff,191
225,892a1001457ffff,44
226,892a100145bffff,858
227,892a1001463ffff,188
228,892a1001467ffff,168
229,892a100146bffff,209
230,892a100146fffff,312
231,892a1001473ffff,106
232,892a1001477ffff,75
233,892a100147bffff,236
234,892a10014a3ffff,55
235,892a10014a7ffff,99
236,892a10014abffff,61
237,892a10014afffff,153
238,892a10014b7ffff,10
239,892a10014bbffff,2
240,892a10014c3ffff,69
241,892a10014c7ffff,93
242,892a10014cbffff,85
243,892a10014cfffff,40
244,892a10014d3ffff,127
245,892a10014d7ffff,123
246,892a10014dbffff,715
247,892a1001503ffff,14
248,892a1001507ffff,30
249,892a100150bffff,2
250,892a100150fffff,3
251,892a1001513ffff,46
252,892a100151bffff,21
253,892a1001527ffff,5
254,892a100153bffff,15
255,892a1001543ffff,29
256,892a1001547ffff,50
257,892a100154bffff,84
258,892a100154fffff,48
259,892a1001553ffff,29
260,892a1001557ffff,25
261,892a100155bffff,46
262,892a1001563ffff,116
263,892a100156bffff,80
264,892a100156fffff,26
265,892a1001573ffff,27
266,892a1001577ffff,5
267,892a100157bffff,60
268,892a10015c3ffff,4
269,892a10015c7ffff,11
270,892a10015cbffff,28
271,892a10015cfffff,34
272,892a10015d3ffff,3
273,892a10015d7ffff,1
274,892a10015dbffff,28
275,892a1001613ffff,31
276,892a100161bffff,60
277,892a1001627ffff,1
278,892a1001637ffff,213
279,892a1001667ffff,647
280,892a1001677ffff,1
281,892a1001683ffff,120
282,892a1001687ffff,93
283,892a100168bffff,235
284,892a100168fffff,83
285,892a1001693ffff,105
286,892a1001697ffff,1
287,892a100169bffff,64
288,892a10016a3ffff,932
289,892a10016a7ffff,426
290,892a10016afffff,1049
291,892a10016b3ffff,784
292,892a10016b7ffff,558
293,892a10016c7ffff,76
294,892a100180bffff,1
295,892a1001813ffff,30
296,892a1001817ffff,1
297,892a1001843ffff,90
298,892a1001847ffff,49
299,892a100184bffff,270
300,892a100184fffff,225
301,892a1001853ffff,33
302,892a1001857ffff,9
303,892a100185bffff,121
304,892a1001863ffff,39
305,892a1001867ffff,21
306,892a100186bffff,2
307,892a100186fffff,6
308,892a1001873ffff,9
309,892a1001877ffff,17
310,892a100187bffff,48
311,892a100188bffff,1
312,892a1001893ffff,62
313,892a1001897ffff,3
314,892a10018a7ffff,7
315,892a10018b7ffff,5
316,892a10018c3ffff,19
317,892a10018cbffff,36
318,892a10018cfffff,5
319,892a10018dbffff,8
320,892a1001923ffff,2
321,892a1001927ffff,8
322,892a100192bffff,3
323,892a10019abffff,1
324,892a10019d3ffff,57
325,892a1001a03ffff,3
326,892a1001a0bffff,180
327,892a1001a13ffff,21
328,892a1001a17ffff,47
329,892a1001a1bffff,55
330,892a1001a33ffff,303
331,892a1001a37ffff,1
332,892a1001a43ffff,241
333,892a1001a47ffff,120
334,892a1001a4bffff,38
335,892a1001a4fffff,29
336,892a1001a53ffff,2030
337,892a1001a57ffff,150
338,892a1001a6bffff,14
339,892a1001a83ffff,351
340,892a1001a87ffff,163
341,892a1001a8bffff,47
342,892a1001a8fffff,9
343,892a1001a93ffff,51
344,892a1001a9bffff,29
345,892a1001aa3ffff,68
346,892a1001aa7ffff,93
347,892a1001aabffff,297
348,892a1001aafffff,93
349,892a1001ab3ffff,18
350,892a1001ab7ffff,30
351,892a1001abbffff,86
352,892a1001ac3ffff,534
353,892a1001ac7ffff,65
354,892a1001acbffff,986
355,892a1001acfffff,347
356,892a1001ad3ffff,253
357,892a1001ad7ffff,139
358,892a1001adbffff,1160
359,892a1001b27ffff,20
360,892a1001b37ffff,5
361,892a1001b8bffff,1
362,892a1001b9bffff,2
363,892a1001bafffff,1
364,892a1001bc3ffff,30
365,892a1001bc7ffff,12
366,892a1001bcfffff,2
367,892a1001bd3ffff,129
368,892a1001bd7ffff,154
369,892a1001bdbffff,38
370,892a1001c03ffff,5
371,892a1001c07ffff,8
372,892a1001c0bffff,15
373,892a1001c0fffff,48
374,892a1001c13ffff,13
375,892a1001c17ffff,9
376,892a1001c1bffff,75
377,892a1001c23ffff,9
378,892a1001c27ffff,9
379,892a1001c2bffff,21
380,892a1001c2fffff,21
381,892a1001c33ffff,24
382,892a1001c37ffff,16
383,892a1001c3bffff,22
384,892a1001c43ffff,88
385,892a1001c47ffff,92
386,892a1001c4bffff,18
387,892a1001c4fffff,87
388,892a1001c53ffff,221
389,892a1001c57ffff,31
390,892a1001c67ffff,14
391,892a1001c73ffff,20
392,892a1001c77ffff,12
393,892a1001c7bffff,34
394,892a1001c83ffff,32
395,892a1001c8bffff,2
396,892a1001c8fffff,4
397,892a1001c93ffff,2
398,892a1001c97ffff,1
399,892a1001c9bffff,11
400,892a1001ca3ffff,2
401,892a1001cabffff,26
402,892a1001cafffff,6
403,892a1001cc3ffff,1184
404,892a1001cc7ffff,104
405,892a1001ccbffff,336
406,892a1001ccfffff,124
407,892a1001cd3ffff,1
408,892a1001cd7ffff,8
409,892a1001cdbffff,419
410,892a1001d03ffff,7
411,892a1001d07ffff,2
412,892a1001d0bffff,18
413,892a1001d0fffff,16
414,892a1001d13ffff,3
415,892a1001d17ffff,123
416,892a1001d27ffff,1
417,892a1001d33ffff,2
418,892a1001d3bffff,8
419,892a1001d43ffff,23
420,892a1001d47ffff,6
421,892a1001d4bffff,1
422,892a1001d4fffff,9
423,892a1001d53ffff,20
424,892a1001d57ffff,118
425,892a1001d5bffff,64
426,892a1001d63ffff,17
427,892a1001d6bffff,26
428,892a1001d6fffff,3
429,892a1001d73ffff,31
430,892a1001d77ffff,14
431,892a1001d7bffff,51
432,892a1001dafffff,6
433,892a1001dcbffff,11
434,892a1001dcfffff,14
435,892a1001ddbffff,20
436,892a1001e03ffff,62
437,892a1001e07ffff,560
438,892a1001e0bffff,248
439,892a1001e0fffff,160
440,892a1001e13ffff,107
441,892a1001e17ffff,108
442,892a1001e1bffff,321
443,892a1001e23ffff,155
444,892a1001e27ffff,241
445,892a1001e2bffff,432
446,892a1001e2fffff,125
447,892a1001e33ffff,254
448,892a1001e37ffff,1247
449,892a1001e3bffff,515
450,892a1001e43ffff,414
451,892a1001e47ffff,1147
452,892a1001e4bffff,334
453,892a1001e4fffff,1026
454,892a1001e53ffff,364
455,892a1001e57ffff,287
456,892a1001e5bffff,564
457,892a1001e63ffff,242
458,892a1001e67ffff,260
459,892a1001e6bffff,887
460,892a1001e6fffff,681
461,892a1001e73ffff,285
462,892a1001e77ffff,162
463,892a1001e7bffff,434
464,892a1001e83ffff,121
465,892a1001e87ffff,318
466,892a1001e8bffff,423
467,892a1001e8fffff,479
468,892a1001e93ffff,162
469,892a1001e97ffff,76
