,hex9,cnt
0,0,5685
1,892a1000007ffff,1
2,892a100002bffff,1
3,892a1000047ffff,5
4,892a1000063ffff,19
5,892a1000067ffff,32
6,892a1000073ffff,5
7,892a1000077ffff,1
8,892a100007bffff,2
9,892a1000243ffff,4
10,892a100024bffff,2
11,892a100024fffff,1
12,892a1000253ffff,5
13,892a100025bffff,1
14,892a1000267ffff,4
15,892a100026fffff,33
16,892a1000287ffff,2
17,892a1000293ffff,1
18,892a10002a3ffff,2
19,892a10002c3ffff,1
20,892a1000383ffff,86
21,892a1000387ffff,40
22,892a100038bffff,8
23,892a1000393ffff,13
24,892a1000397ffff,7
25,892a100039bffff,8
26,892a10003b3ffff,10
27,892a10003b7ffff,26
28,892a10003bbffff,45
29,892a100060bffff,1
30,892a100067bffff,1
31,892a10006b7ffff,1
32,892a10006d7ffff,1
33,892a1000927ffff,3
34,892a100092fffff,6
35,892a1000937ffff,2
36,892a1000967ffff,1
37,892a1000977ffff,1
38,892a1000a13ffff,1
39,892a1000a2bffff,3
40,892a1000a2fffff,1
41,892a1000a63ffff,2
42,892a1000a67ffff,14
43,892a1000a6fffff,10
44,892a1000acbffff,31
45,892a1000b03ffff,2
46,892a1000b07ffff,9
47,892a1000b0bffff,9
48,892a1000b0fffff,1
49,892a1000b13ffff,16
50,892a1000b17ffff,2
51,892a1000b23ffff,2
52,892a1000b27ffff,2
53,892a1000b2bffff,2
54,892a1000b2fffff,2
55,892a1000b33ffff,1
56,892a1000b3bffff,5
57,892a1000b43ffff,2
58,892a1000b4bffff,1
59,892a1000b4fffff,2
60,892a1000b53ffff,3
61,892a1000b57ffff,2
62,892a1000b5bffff,3
63,892a1000b63ffff,5
64,892a1000b67ffff,2
65,892a1000b6bffff,1
66,892a1000b6fffff,3
67,892a1000b73ffff,3
68,892a1000b77ffff,3
69,892a1000b7bffff,3
70,892a1000babffff,4
71,892a1000bc7ffff,1
72,892a1000bcfffff,3
73,892a1001003ffff,28
74,892a1001007ffff,27
75,892a100100bffff,16
76,892a100100fffff,50
77,892a1001013ffff,24
78,892a1001017ffff,23
79,892a100101bffff,65
80,892a1001023ffff,12
81,892a1001027ffff,16
82,892a100102bffff,52
83,892a100102fffff,63
84,892a1001033ffff,165
85,892a1001037ffff,9
86,892a100103bffff,17
87,892a1001043ffff,47
88,892a1001047ffff,56
89,892a100104bffff,303
90,892a100104fffff,8
91,892a1001053ffff,86
92,892a1001057ffff,139
93,892a100105bffff,131
94,892a1001063ffff,164
95,892a1001067ffff,136
96,892a100106bffff,32
97,892a100106fffff,218
98,892a1001073ffff,78
99,892a1001077ffff,18
100,892a100107bffff,85
101,892a1001083ffff,29
102,892a1001087ffff,305
103,892a100108bffff,13
104,892a100108fffff,65
105,892a1001093ffff,30
106,892a1001097ffff,12
107,892a100109bffff,20
108,892a10010a3ffff,95
109,892a10010a7ffff,29
110,892a10010abffff,62
111,892a10010afffff,29
112,892a10010b3ffff,26
113,892a10010b7ffff,26
114,892a10010bbffff,73
115,892a10010c3ffff,40
116,892a10010c7ffff,29
117,892a10010cbffff,77
118,892a10010cfffff,73
119,892a10010d3ffff,46
120,892a10010d7ffff,158
121,892a10010dbffff,54
122,892a1001103ffff,8
123,892a1001107ffff,5
124,892a100110fffff,3
125,892a1001113ffff,2
126,892a1001117ffff,4
127,892a100111bffff,2
128,892a1001127ffff,8
129,892a100112bffff,1
130,892a100112fffff,1
131,892a1001133ffff,2
132,892a1001137ffff,6
133,892a100113bffff,5
134,892a1001143ffff,14
135,892a1001147ffff,8
136,892a100114bffff,7
137,892a100114fffff,9
138,892a1001153ffff,23
139,892a1001157ffff,12
140,892a100115bffff,6
141,892a1001163ffff,4
142,892a1001167ffff,170
143,892a100116bffff,3
144,892a100116fffff,14
145,892a1001173ffff,6
146,892a1001177ffff,4
147,892a100117bffff,31
148,892a1001183ffff,3
149,892a1001187ffff,11
150,892a100118bffff,41
151,892a100118fffff,4
152,892a100119bffff,13
153,892a10011a3ffff,15
154,892a10011a7ffff,61
155,892a10011abffff,2
156,892a10011afffff,14
157,892a10011b7ffff,11
158,892a10011bbffff,2
159,892a10011c3ffff,15
160,892a10011c7ffff,9
161,892a10011cbffff,15
162,892a10011cfffff,12
163,892a10011d3ffff,31
164,892a10011d7ffff,4
165,892a10011dbffff,12
166,892a1001203ffff,292
167,892a1001207ffff,224
168,892a100120bffff,10
169,892a100120fffff,397
170,892a1001213ffff,213
171,892a1001217ffff,641
172,892a100121bffff,134
173,892a1001223ffff,369
174,892a100122bffff,354
175,892a100122fffff,19
176,892a1001233ffff,139
177,892a1001237ffff,137
178,892a100123bffff,115
179,892a1001243ffff,53
180,892a100124bffff,365
181,892a100124fffff,201
182,892a1001253ffff,9
183,892a1001257ffff,4
184,892a100125bffff,337
185,892a1001263ffff,668
186,892a1001267ffff,321
187,892a100126bffff,199
188,892a100126fffff,195
189,892a1001273ffff,67
190,892a1001277ffff,464
191,892a100127bffff,213
192,892a1001283ffff,96
193,892a1001287ffff,44
194,892a100128bffff,194
195,892a100128fffff,113
196,892a1001293ffff,241
197,892a1001297ffff,753
198,892a100129bffff,277
199,892a10012a3ffff,129
200,892a10012abffff,636
201,892a10012afffff,14
202,892a10012b3ffff,307
203,892a10012b7ffff,3
204,892a10012bbffff,195
205,892a10012c3ffff,8
206,892a10012c7ffff,1
207,892a10012cbffff,21
208,892a10012cfffff,6
209,892a10012d3ffff,6
210,892a10012d7ffff,664
211,892a10012dbffff,16
212,892a1001303ffff,105
213,892a1001307ffff,129
214,892a100130bffff,5
215,892a100130fffff,2
216,892a1001313ffff,80
217,892a1001317ffff,164
218,892a1001323ffff,18
219,892a1001327ffff,69
220,892a1001333ffff,123
221,892a1001337ffff,41
222,892a1001343ffff,20
223,892a1001347ffff,15
224,892a100134bffff,94
225,892a100134fffff,268
226,892a100135bffff,3
227,892a1001363ffff,17
228,892a100136bffff,607
229,892a100136fffff,90
230,892a1001377ffff,3
231,892a100137bffff,282
232,892a1001383ffff,15
233,892a1001387ffff,24
234,892a100138bffff,59
235,892a100138fffff,116
236,892a1001393ffff,127
237,892a1001397ffff,63
238,892a100139bffff,29
239,892a10013a3ffff,40
240,892a10013a7ffff,19
241,892a10013abffff,269
242,892a10013afffff,33
243,892a10013b3ffff,13
244,892a10013b7ffff,15
245,892a10013bbffff,204
246,892a10013c7ffff,48
247,892a10013d3ffff,25
