,hex9,cnt
0,0,400883
1,892a100002bffff,30
2,892a100002fffff,5
3,892a1000047ffff,44
4,892a1000063ffff,217
5,892a1000067ffff,263
6,892a1000073ffff,80
7,892a1000077ffff,12
8,892a100007bffff,99
9,892a1000243ffff,116
10,892a100024bffff,99
11,892a1000253ffff,4
12,892a100025bffff,77
13,892a1000267ffff,41
14,892a100026fffff,9
15,892a1000287ffff,89
16,892a10002c3ffff,4
17,892a10002d3ffff,14
18,892a1000383ffff,220
19,892a1000387ffff,257
20,892a100038bffff,1
21,892a100038fffff,4
22,892a1000393ffff,266
23,892a1000397ffff,142
24,892a100039bffff,104
25,892a10003b3ffff,297
26,892a10003b7ffff,3
27,892a10003bbffff,6
28,892a100060bffff,6
29,892a100067bffff,1
30,892a100068bffff,8
31,892a10006d7ffff,2
32,892a100090fffff,36
33,892a1000923ffff,8
34,892a1000927ffff,49
35,892a100092bffff,84
36,892a100092fffff,73
37,892a1000937ffff,21
38,892a100093bffff,5
39,892a1000967ffff,41
40,892a1000977ffff,78
41,892a1000a2bffff,34
42,892a1000a2fffff,28
43,892a1000a67ffff,66
44,892a1000a6fffff,60
45,892a1000acbffff,42
46,892a1000b03ffff,123
47,892a1000b07ffff,56
48,892a1000b0bffff,103
49,892a1000b0fffff,28
50,892a1000b13ffff,21
51,892a1000b17ffff,32
52,892a1000b1bffff,78
53,892a1000b23ffff,50
54,892a1000b27ffff,51
55,892a1000b2bffff,114
56,892a1000b2fffff,84
57,892a1000b33ffff,68
58,892a1000b37ffff,91
59,892a1000b3bffff,60
60,892a1000b43ffff,2
61,892a1000b4bffff,88
62,892a1000b4fffff,86
63,892a1000b53ffff,5
64,892a1000b5bffff,17
65,892a1000b63ffff,22
66,892a1000b67ffff,69
67,892a1000b6bffff,90
68,892a1000b6fffff,99
69,892a1000b73ffff,35
70,892a1000b77ffff,42
71,892a1000b7bffff,25
72,892a1000babffff,21
73,892a1000bafffff,32
74,892a1000bc3ffff,3
75,892a1000bcfffff,16
76,892a1000bd3ffff,1
77,892a1000bd7ffff,3
78,892a1001003ffff,24
79,892a1001007ffff,225
80,892a100100bffff,120
81,892a100100fffff,234
82,892a1001013ffff,15
83,892a1001017ffff,34
84,892a100101bffff,100
85,892a1001023ffff,151
86,892a1001027ffff,264
87,892a100102bffff,230
88,892a100102fffff,223
89,892a1001033ffff,155
90,892a1001037ffff,185
91,892a100103bffff,279
92,892a1001043ffff,27
93,892a1001047ffff,248
94,892a100104bffff,15
95,892a100104fffff,161
96,892a1001053ffff,17
97,892a1001057ffff,14
98,892a100105bffff,16
99,892a1001063ffff,196
100,892a1001067ffff,165
101,892a100106bffff,99
102,892a100106fffff,226
103,892a1001073ffff,165
104,892a1001077ffff,158
105,892a100107bffff,257
106,892a1001083ffff,101
107,892a1001087ffff,176
108,892a100108bffff,32
109,892a100108fffff,85
110,892a1001093ffff,19
111,892a1001097ffff,13
112,892a100109bffff,19
113,892a10010a3ffff,215
114,892a10010a7ffff,147
115,892a10010abffff,87
116,892a10010afffff,106
117,892a10010b3ffff,211
118,892a10010b7ffff,131
119,892a10010bbffff,136
120,892a10010c3ffff,5
121,892a10010c7ffff,5
122,892a10010cbffff,17
123,892a10010cfffff,6
124,892a10010d3ffff,7
125,892a10010d7ffff,7
126,892a10010dbffff,5
127,892a1001103ffff,135
128,892a1001107ffff,43
129,892a100110bffff,2
130,892a100110fffff,110
131,892a1001113ffff,215
132,892a1001117ffff,102
133,892a100111bffff,192
134,892a1001127ffff,77
135,892a100112bffff,56
136,892a100112fffff,32
137,892a1001133ffff,26
138,892a1001137ffff,91
139,892a100113bffff,43
140,892a1001143ffff,153
141,892a1001147ffff,88
142,892a100114bffff,188
143,892a100114fffff,108
144,892a1001153ffff,248
145,892a1001157ffff,279
146,892a100115bffff,289
147,892a1001163ffff,222
148,892a1001167ffff,139
149,892a100116bffff,146
150,892a100116fffff,244
151,892a1001173ffff,112
152,892a1001177ffff,106
153,892a100117bffff,172
154,892a1001183ffff,39
155,892a1001187ffff,115
156,892a100118bffff,262
157,892a100118fffff,221
158,892a1001193ffff,2
159,892a100119bffff,53
160,892a10011a3ffff,57
161,892a10011a7ffff,288
162,892a10011abffff,9
163,892a10011afffff,153
164,892a10011b3ffff,5
165,892a10011b7ffff,45
166,892a10011bbffff,49
167,892a10011c3ffff,258
168,892a10011c7ffff,202
169,892a10011cbffff,117
170,892a10011cfffff,268
171,892a10011d3ffff,130
172,892a10011d7ffff,115
173,892a10011dbffff,62
174,892a1001203ffff,64
175,892a1001207ffff,162
176,892a100120fffff,187
177,892a1001213ffff,86
178,892a1001217ffff,6
179,892a100121bffff,45
180,892a1001223ffff,133
181,892a1001227ffff,1
182,892a100122bffff,28
183,892a100122fffff,2
184,892a1001233ffff,151
185,892a1001237ffff,69
186,892a100123bffff,55
187,892a1001243ffff,87
188,892a1001247ffff,6
189,892a100124bffff,97
190,892a100124fffff,120
191,892a1001253ffff,59
192,892a100125bffff,112
193,892a1001263ffff,16
194,892a1001267ffff,166
195,892a100126bffff,196
196,892a100126fffff,124
197,892a1001273ffff,40
198,892a1001277ffff,70
199,892a100127bffff,80
200,892a1001283ffff,48
201,892a1001287ffff,49
202,892a100128bffff,56
203,892a100128fffff,65
204,892a1001293ffff,12
205,892a1001297ffff,41
206,892a100129bffff,21
207,892a10012a3ffff,51
208,892a10012abffff,40
